"X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
100,119.390581171049,147.091411415406,174.238219419126,197.599255743074,229.270541140329,254.385957744004,269.6214143784,279.132021490799,290.48937879823,299.168966639047,324.56139436304,337.488448477073,357.062788788073,376.637103350748,400.261294744143,439.072492067332,449.872112119268,467.083992093609,462.35917441359,454.2594722488,461.009241218342,466.071567945498,456.62188108881,455.271896396911
100,113.57566961236,132.863503003593,156.676552052562,172.551918085208,198.664697513191,222.922843617904,240.94956302474,254.896141190432,268.17506811272,284.866462393595,301.186936801561,314.243320855765,326.184576638229,352.580996410223,373.321074766593,401.288711142866,425.799699759561,422.028789499237,434.912736884488,435.226999385234,449.367948823743,439.312172146304,443.397344907374,444.02582195914
100,112.143924914867,129.460270130877,150.44978537611,162.29385337357,194.002998912325,210.794597382466,227.586195852606,242.278853092758,250.974509245236,260.194889266838,262.068952106736,272.263858531132,280.431774287066,294.86176709805,313.103437310802,342.2356618648,360.477332077552,377.357724541816,390.698636992175,392.05995628483,408.395787796698,410.846145905811,414.930103783778,426.909738485649
100,128.237576512163,163.193766926093,169.522865710405,206.426475706471,233.787726778542,250.632894277917,297.857819144728,304.868541526525,311.976611115218,313.339828594925,312.073988037377,314.216131748569,329.298515661615,362.605420832406,390.256426042607,391.82750670135,395.283903328815,403.767729296911,423.563355186186,414.136871233729,435.503577781747,416.964797241236,409.109393947521,416.650609876833
100,117.688440677509,158.492459244465,168.643219147495,199.798998041968,201.708524311008,212.160794818821,262.914578998508,239.999987731627,245.025128695234,262.814039680826,260.904528747252,270.854271356784,268.958299723103,268.145728643216,300.377391067582,302.002512562814,306.877897713053,304.169354999485,332.879903630396,352.110552763819,358.069338467852,433.908534447752,389.488450476872,377.300008265816
100,126.774476695904,134.770876554283,144.564235142989,163.16261336556,179.335118552074,183.288405823428,203.593876331845,203.773568091997,209.164403154168,229.64957913234,227.044014336131,228.122178606645,230.63151909045,239.528287536977,276.712209611597,269.868544253398,286.065215453601,278.080939202369,272.377884737203,272.377884737203,308.19307722105,342.183267909968,326.214715407503,289.487048132701
100,122.452511793773,130.310893886384,135.319519121484,149.136445401699,165.803115362577,173.575136395198,200.259083179971,204.835929468814,206.303975250718,216.321252074612,220.811750480313,224.52505205349,229.464596346706,237.547511924553,276.839396033914,286.2694413682,304.455984288454,309.39552858167,304.006906776504,301.537151759798,328.704662502387,358.117458025316,352.055288471833,331.398990534873
100,118.423545426631,140.265914460071,146.628684406953,162.393157686756,184.61538795941,193.827146181948,210.921177271332,218.993337285451,227.255456900733,231.339030430777,234.757825056032,242.640068941323,245.093425113248,246.505279820976,272.381539028324,291.841559218281,284.759894472892,286.76520601807,285.389790975532,280.372520126007,286.096338015095,303.493642801616,301.257488057895,301.561362935256
100,119.138763281717,148.038289193331,178.468899521531,194.641157086386,207.464117752878,218.564602062463,227.846895792838,243.923439135392,255.789491206265,268.32535301099,290.909090909091,322.392367860347,338.834373701908,341.413522483425,358.177915773528,401.378497986132,411.695043919029,420.722040057753,400.411311043917,391.061952053235,406.859158401124,396.220225019684,414.596604745675,462.955459924727
100,133.44595282508,212.753384190811,208.952708319211,267.483106431863,288.597972385199,309.459470257087,347.466228973091,353.378391440025,348.817585549101,369.25676032694,373.141900817351,377.702706708274,383.368247308899,418.49461055934,471.372989498498,453.243248049929,477.038530099123,486.858765893822,517.452708190336,518.208102077181,607.72363204047,633.407427623205,632.65203373636,643.227721050763
100,96.3855358929834,111.445787685483,129.384210809065,128.17937922668,133.734937051875,135.809907754795,141.767065894072,143.373497790539,155.287814069094,176.639896035962,179.183395331954,156.49264565148,155.710182423222,167.76011136261,173.706836673143,189.825583951021,199.058640492906,197.337223778628,199.058640492906,200.936547464947,212.360515373282,218.307240683814,215.177387770785,220.654630368586
100,119.638463233025,147.165156397577,175.184882739902,194.823345972927,227.85540284646,253.903046629832,284.223502522841,295.645026142431,297.452760129448,307.806093259665,317.666405750144,324.650793764233,338.286117194775,358.089835429505,384.711190610616,389.905598357066,411.332545791727,442.823662879302,470.418980349262,480.158504162189,521.064523991594,536.647771999833,540.543571617448,520.415232311621
100,113.467039377511,152.722054173945,170.343834279939,182.09169132739,205.300854994947,220.916891413171,252.865318457253,218.91116958613,265.329496921244,270.200569996631,295.272202138285,292.263597536995,323.535793554277,303.077341726687,346.916881357236,329.673346940908,348.962739918761,341.363890842388,364.744978645348,390.46418414778,404.200564312842,445.409704808027,431.673324642965,443.363868544445
100,169.823793746871,209.801772691589,249.779734831473,268.061663996238,297.68722623349,367.070489643306,396.916312847876,416.740102393538,416.740102393538,436.5638919392,455.50660400592,492.731295651909,513.425995032323,550.380842206216,591.770278559459,640.057922977898,669.621800717012,686.867396064829,691.302022836594,741.560599956123,752.893434793082,760.777090412616,755.849777456096,753.386120977837
100,125.341421185983,143.854326034469,164.339909778649,185.204856184759,222.837636879034,254.248860655885,269.802729794985,299.696502924119,312.518956266436,310.015171959487,313.353558753572,315.629734725148,333.620619972226,355.083451565791,385.068276364681,422.628195532463,428.625189389006,439.672230104386,445.669175799654,462.081912373107,463.028811209537,453.875568167018,455.769317678604,444.722276963223
100,115.760367257254,191.244239631336,304.05529391381,247.926267281106,257.05068561888,286.543801303283,276.497695852535,304.792637978831,355.115196122552,502.764976958525,440.645138788882,429.953917050691,432.533633992419,468.219822228779,524.543778801843,609.244687339677,654.819828789355,641.061316564885,635.041922362718,619.56362071235,620.423515425299,636.331797235023,666.858551587926,729.631784113871
100,110.182971325556,179.39537930623,289.578350631786,256.961008939744,273.349239133318,263.564046336947,253.142403038259,275.735873891272,308.591869347868,350.676190724174,371.201264209443,423.229897077226,388.948281871946,393.180580842718,414.34207569658,380.0604604913,386.83213238656,385.562429779377,385.139206340275,516.763697873317,525.651519253963,502.797130643696,563.742209990913,539.618118773463
100,129.985334110443,139.956013518124,148.240473604195,159.017597948789,191.129027386395,219.648108144994,230.205288893413,231.818178767237,243.328452161345,251.392968651241,256.744866099645,261.070375014962,281.172785923879,315.111934675824,323.727265018553,351.40074070461,395.782704457154,399.176587463406,399.176587463406,407.530871332827,435.204307182707,459.74494633582,471.754159684801,487.418382185699
100,85.99835313784,90.9693560632422,97.2659585045602,108.989241667825,121.748144119592,135.998349977362,148.38444238002,159.942021653197,167.149973366647,167.067118261125,168.558421667128,170.836798007938,183.820392049778,195.09561811154,207.908377962135,229.775493320676,237.121480848543,241.563221956173,247.884204336568,235.925628476013,262.234484942185,269.409625244993,256.426044236965,246.175836356489
100,115.263165925678,135.197368421053,161.578951383892,180.394724795693,218.289465653269,246.315785458213,252.302631578947,268.421052631579,272.302627563477,289.144716764751,306.38158697831,320.526323820415,322.769998305471,326.29580743087,338.796314496492,354.822630687513,379.823693727192,395.208967052259,416.363675079345,430.466862672505,444.890547244424,463.1605379205,476.943179626465,493.289992796245
100,236.2517660225,307.814729610307,150.940656785921,197.829211105218,234.370452450659,217.510816956819,308.176524079074,270.694625947712,379.884192205078,305.20980501875,316.859591329475,389.942051938175,389.162179734386,388.772213882274,462.471267648632,460.911493490836,494.446533757693,459.741685185152,478.068949726159,620.007862581699,675.379622056832,514.723508558391,515.113474410504,664.0713263508
100,126,181.360009765625,139.440002441406,179.280004882812,187.360009765625,201.760009765625,247.040014648437,229.92001953125,259.680029296875,271.360009765625,283.2,288.72001953125,303.156020507812,312.683789963379,346.175307823487,359.167708702393,354.836908409424,341.844507530518,316.148421386719,347.907623535156,351.660992600098,352.527139442138,348.485054763183,364.942109093018
100,112.609041806723,134.337836007221,166.693100310688,161.934971783643,175.257746180024,183.822367848267,212.846944602911,205.947672759352,234.813647649871,244.171290739288,254.559876196888,254.877079925139,258.190489742397,270.424577911457,283.168431907714,312.734169289914,337.967023537196,293.873280931916,288.520846697026,309.420778918234,318.086603524804,321.399993896484,332.614589302306,339.241408936822
100,121.651802592132,145.907749262662,156.250018449058,168.675611980784,191.592270605554,220.089286626602,236.011924562542,250.892877619284,258.035739627826,270.907754939295,282.217288345032,291.889907831914,300.062834158981,313.197880011417,334.797715375433,361.943485711574,388.213577416446,395.218917388866,400.181081453101,393.759467849706,411.564770042999,425.283586803326,431.121384959965,442.796981273241
100,125.643309616544,144.454310079994,169.92014657103,180.124228479996,213.753341329643,267.169489136541,291.038189351694,317.568769820687,341.526179519997,360.692112695164,383.141109142046,400.532392297926,426.566997797291,449.397331934995,483.04205899966,532.307524917387,585.57834531629,624.029479423448,658.875785330089,697.326919437247,742.987587712653,782.640270103591,814.682861487425,852.733438755728
100,122.06610548375,145.28924955956,167.272711681479,186.363637223448,231.404944086945,259.063161575085,276.677359334445,295.672790009171,315.955937182647,336.031209684907,356.799384211813,381.876681820044,406.385336206167,432.477577450297,463.283411788273,504.480522914171,549.628833949272,576.505771291716,604.138574158434,627.118369866407,649.755215777726,673.858763899621,697.804721296689,725.169228770943
100,125.91667175293,152.5,167.750002543132,177.833340962728,223.333333333333,259.08332824707,305,340.083363850911,364.333343505859,394.416681925456,424.916687011719,445.166676839193,464.308857528687,497.696358291626,529.748345438639,592.071680196126,658.846681722005,692.679376332601,725.176489400227,749.21553070577,776.370657236734,803.525851694743,836.913352457682,870.300853220622
100,126.215289068627,139.756948146739,149.13193779871,155.295150950091,177.777785136376,201.909732869194,227.777778513638,244.704862295385,257.031262107194,261.458324365042,273.871535032896,281.857656951948,289.749679948216,302.151399650875,317.089864070942,352.04021783379,388.68169173351,407.284314295565,418.558620573643,427.578056994492,435.47007999076,445.616972844256,452.099664547699,466.474422255474
100,131.012156313516,155.789490721513,179.919049339081,186.963581716164,218.542518680126,240.404868208842,318.380571643695,345.506079392288,365.425113905014,412.712561276861,443.481769236315,492.469675934807,500.841645396716,521.525394329451,533.837136227821,583.084103821302,679.608152790033,742.64428633867,826.364131247587,871.671326404607,935.199884542234,997.251093767983,1095.25252922105,1185.3744949461
100,132.91924913965,156.832294420697,177.251539117765,184.627327187406,207.375776222756,227.950286202987,295.031048910223,325.388195786845,344.021735718017,379.34782183753,405.046583731359,431.211188862222,429.917542136114,448.028431807609,464.845674752996,504.085886359698,575.235699623161,621.375349469504,681.31367840231,715.810573511288,749.013821894158,778.767433404215,817.576440401814,856.385447399414
100,114.14728471561,131.395348923172,148.158902242547,162.015508517975,180.232564930617,221.220923377003,302.616253818116,335.852704195154,351.841075578982,377.131778045842,405.038741723641,428.779050748113,453.219443555457,490.523240598491,539.832831434524,610.152602299863,674.181471494884,721.575574238566,763.157320987171,800.562134663136,828.402714416718,858.659996319801,883.19439021709,909.649862715231
100,109.302331770737,136.337210376864,120.251940061937,166.86046709343,252.713173939111,290.891493298774,345.05815565296,257.558135322693,321.414720444043,374.030989241223,443.023251171947,480.910855105817,463.117168143137,694.435245420331,916.616119184157,1039.72925406254,904.593347806511,715.595367073691,679.046112733179,779.556525478999,819.472067747843,787.731995339563,978.653590140338,968.554432830647
100,141.785717010498,154.002551892015,173.168363453896,190.321846545522,221.416404109102,280.715138505642,353.913532785716,387.090909994648,413.292480722394,438.574380853954,482.113712420976,542.600565820535,584.30327964609,633.299709621242,697.264053189318,913.590933252198,705.406161952509,792.534992055229,754.690190477845,783.22809717525,825.246553544226,880.604095189544,935.257516984787,1008.4360482758
100,131.983468552266,157.024805998999,180.578512396694,205.289263764689,242.644633143401,294.214901254197,337.107432972301,372.066125790935,398.181833314502,421.818201995093,446.611590424845,454.62812943892,473.267875808841,503.273325414735,546.008376519069,588.743427623402,643.298803156072,662.393170718358,676.486670479263,698.308834566481,728.768905364739,797.417711287568,838.33424293707,907.437774108384
100,118.008473800035,126.836157035347,141.313546765277,151.977403199906,180.437845329765,205.296609941187,221.963280199847,235.805070271246,241.807916423219,250.776829659119,267.514104142093,274.435020729754,287.33345832896,299.957486032713,318.893485712882,353.746724970468,382.836853918006,388.874415998969,390.521042873532,395.186429850845,409.4570425537,416.866779738311,425.648733902032,426.746457234767
100,126.778583563552,153.717018496007,176.658675216305,198.161468361462,241.167079046322,315.827322466091,343.645083245477,365.147876390634,383.453251844975,418.06555266121,434.772158283775,436.930441449214,444.795202729359,450.47527846711,460.524691954501,491.546746630366,513.393268702827,518.199496891739,523.879605964637,560.581769713401,562.32946481108,572.378878298471,568.446530993546,581.991334676295
100,141.091735751541,167.323735527576,185.595158741158,199.848383852383,238.210762872391,309.09780178566,325.018978047472,373.313128644207,373.085692854328,380.742990847734,395.906016960741,396.664167109546,396.664167109546,430.777279428352,458.940429240515,500.590166787017,553.743201495385,566.039754360092,552.156508511258,587.062967322128,584.682958109011,565.246438131103,530.339979320233,525.580021420148
100,135.238994544446,150.328021072288,164.948458325986,165.229623330989,178.444235559672,227.835063783027,287.347717781323,353.608246095816,351.827558231874,365.604514771209,382.942847038429,388.191212796332,370.722608220498,392.849495503233,406.048002661636,447.584480200827,463.888499291617,439.8206559449,439.8206559449,476.698821160552,482.909874641965,482.521689352497,463.11212871268,461.171172648699
100,124.024223069933,159.353965898764,164.602958315578,164.602958315578,252.153409353452,296.97171579223,369.784641608436,421.736154395116,427.45624906943,457.80616409872,456.594866844994,378.196485139111,367.985191581995,337.729472770867,470.854623998193,562.756381428637,395.215326970371,431.143993058586,411.855978087312,422.823681927166,448.541025604165,511.699855934858,419.798098504413,358.152059885097
100,116.227690178383,130.501270031699,145.624467579091,156.924372539002,184.282072659581,196.686496178756,203.313503821244,207.476638300702,219.796081900677,226.42311547144,231.435854680838,237.383178539375,243.792517115578,254.712157817109,267.530834969516,278.450475671046,293.405605052487,295.304677725162,294.592520945184,304.087866197658,312.158879779278,321.891604588112,326.164472824382,333.76076351508
100,113.147083320639,131.881679560156,149.712396268129,162.202122915128,192.44042959824,206.73787769422,210.764154407916,214.872643021687,219.556276409021,231.388671458453,247.000832901711,252.177486928784,260.49935169328,274.116920595742,283.951846433888,292.273711198384,303.117331592552,305.134759183829,303.117331592552,311.94354363506,339.178719919215,346.239697249067,354.309369134942,358.092031438874
100,124.728493615847,136.591482179149,154.636587772649,163.993323355419,188.137011436699,199.58230179285,208.688395505783,216.624916392159,217.710954676296,220.217220404354,222.55639155252,225.981626479876,232.309118917725,236.376777849745,235.698843314923,236.602756028019,247.449880995465,249.709697260263,247.223902817191,238.636594114543,235.472847895619,228.015464566401,222.817880260952,218.072269553081
100,120.726676167184,140.297262868224,159.207261217603,171.924018542389,209.496283584139,237.572252441595,255.986774876802,277.043751519894,294.549953946432,311.395505020532,330.057796913214,337.076789127578,349.211548392787,365.728316203422,387.301235850971,406.851674190219,437.862728503189,438.536923228513,442.244737048615,442.918880340103,454.04242466808,473.592888724247,471.570407415947,473.255791361585
100,123.094001138931,143.67135257921,166.025150007104,178.460396159258,222.871918566184,246.92817210558,263.582524067887,280.458902130741,297.039207744733,324.648398437121,345.965930999556,348.482580698209,367.997599899886,390.997444908546,417.830619574574,450.936438153793,489.96652973137,510.178476872489,510.875484573263,519.239045240331,547.117651696188,543.284322038818,548.511560749292,562.45086397722
100,110.610936025504,110.610936025504,150.32154156453,161.173643729481,183.520900523675,212.861723910737,210.289391394497,222.588416800687,220.498404297434,225.562703104262,234.485512951357,235.610934492265,236.788989164727,241.265600515217,251.868092567369,262.94179929823,280.848226724505,286.031678068748,297.812224793361,312.655702880961,324.436249605574,338.101690996401,345.87685902492,353.65202705344
100,185.222509596798,190.764063693594,207.892535076158,207.892535076158,238.706987366017,299.496235748935,345.08816563025,375.146929905337,383.711197625984,401.679261146619,395.046184742172,416.792637089684,419.293386552471,443.884158500513,469.308503003233,521.824368916782,575.590657259857,578.508192999983,606.43328696549,609.350822705616,609.767640781709,636.025589637861,637.692734747216,641.443843042019
100,169.938647230098,169.237505194642,168.010516662471,168.010516662471,203.593344573484,262.839612539087,306.222610489983,297.6336372721,303.593337886898,324.276954380433,343.295370241282,350.394384872535,354.599106797818,354.599106797818,370.366854117082,399.44959875469,423.626816657489,425.028399543573,411.36301318695,387.53618432243,378.425935662338,365.811743153521,363.709382190879,356.000689683902
100,125.190839694657,146.18320610687,164.503805145963,184.961822742724,222.748082284709,258.015243879711,285.572500447281,311.526698920563,329.694651829377,344.809169623688,358.549604343094,384.198463964098,406.481986598823,434.912649482553,469.874733152899,523.662518107873,564.003356824103,589.360420271314,613.949157139436,637.769450180403,661.589743221371,687.331028582159,718.451127612864,749.571226643569
100,121.039609460625,135.313526242441,164.521453485214,187.541249560067,230.693065629724,269.884483291406,296.452149125449,314.026420995136,338.036300934783,371.122113301918,398.679888180274,422.524766732215,458.016853584937,499.846811938643,525.620816262092,554.352481058233,604.632966982665,636.744810571015,663.363883769577,674.772039576915,671.391828548624,684.490122106188,711.954231943782,750.826497588713
100,114.032120977566,128.90955697465,141.927316696695,157.311917198558,181.065106082446,192.054104598294,192.223163732682,193.491139486555,191.208796027968,197.041420003861,202.789520861751,205.748100857891,209.04006733215,218.504476832146,227.763141370752,235.787320443676,236.610315986575,233.935584396488,238.667796995154,240.31378808095,235.787320443676,236.404571025184,233.318349512315,231.466613465127
100,108.605852205361,122.117037541481,126.41997677565,132.358009544754,137.263342675512,138.812398698775,136.746986290595,137.091215126214,133.390709183099,136.402757454976,141.566268778193,142.771082834348,141.628909814645,146.340359905206,152.336741027221,152.336741027221,149.766868071745,147.91083963787,146.768677510737,146.340359905206,143.62770715284,142.913851738668,140.343978783192,134.347586768607
100,112.258605089146,129.638955394306,146.179675126156,153.484471363346,165.659114676335,173.803515863344,181.780006309785,189.756509567972,201.763216516903,215.617120976511,219.899242025089,228.127611394126,230.408887508067,243.640295930829,254.818534965337,261.66236330716,263.487391160216,257.784200875363,262.803001364131,266.909305331127,262.346753103245,265.768667274157,266.224915535043,257.327952614476
100,108.894235442376,123.237178918956,139.503206607545,154.647432115813,181.169872255328,192.387832925556,196.394230857403,203.846156197422,204.727571322916,213.541661444892,223.798086122413,231.41026542345,238.352573386154,252.237189311561,266.121805236968,281.394879223875,304.073074642252,308.701279950721,317.032063630127,325.594236388714,334.619257926471,345.495533339292,353.363468239528,359.842962733465
100,112.786602675738,126.014115725265,145.061726443151,155.467372733257,183.156974790368,199.382718748833,192.945326373585,194.620819433292,194.356266481157,198.324520396015,205.202829872914,213.315701852147,217.155390995364,229.52769193797,241.046743092926,254.912263713315,259.818531365793,257.472045625662,262.37831327814,263.018266893575,263.871516681227,255.55221732875,248.299480210838,243.819853726882
100,121.510089589454,139.94731497898,156.101844310652,165.583848618882,209.56980597827,245.302888633415,267.51537148821,295.258984449231,307.726071382329,326.426701781976,360.052678322693,374.275691483365,393.363746038023,415.820287527025,449.879369741018,488.804075921251,533.342860363796,561.039238689589,577.881644806341,598.092566412406,620.923349326928,655.731000056868,680.807459964266,718.609327648061
100,124.77367540987,147.818931787997,170.6995941727,197.283947934999,242.798344038243,274.814827047894,302.880677455113,330.205766981197,355.390958771315,380.823054110244,406.090530338399,433.991786752193,463.937226660283,508.204375664629,564.189322777851,624.514154647649,713.916489207357,760.787615420973,798.978905899544,845.849965891268,893.589062434009,935.686318726485,997.747091254535,1063.71389581838
100,119.134780992907,141.430955727615,163.89350457367,190.349425621499,212.396001105691,226.206334491812,240.016629794435,249.084869394228,258.40265746654,256.905138130437,262.562391085161,278.868551947955,298.11048628756,316.515806460929,315.400327997941,325.439591612871,355.278539436891,340.498497673257,358.346089253122,364.202345864815,372.28951685052,389.021629967397,392.925772673883,382.328801741432
100,119.606235624866,142.90401539598,168.908947151704,185.726010107727,230.680868063611,266.858092074336,285.15176517838,305.414260158094,326.168991900387,345.365048999301,369.155040498065,386.382275721308,408.792459504595,436.998347945074,471,521.616072223766,578.027908061979,615.120571156871,637.144349081534,644.87199459596,671.146001136461,708.625070089976,737.990146627698,766.582411448172
100,104.997089215415,112.55084563479,108.948282016458,111.969779264468,167.867527116933,184.369538954065,227.774541602409,238.291685972891,257.001744697505,265.078422725363,266.937813831431,239.453800981067,236.81981282405,238.735432270573,261.004643069363,287.584011324486,298.359432368634,322.304830735616,352.47598773658,372.59012894164,392.704233608949,424.551596446981,442.750063398892,446.102438535277
100,145.300755532333,149.06015397466,177.63157639996,186.278204290086,204.511266658019,245.95865456203,270.864640560514,294.924825009729,309.680446686702,323.778190845429,358.646617134401,399.248131784308,447.956391677908,486.683478737115,502.653404008487,542.178975147176,628.815807560285,709.463917996629,788.115787774052,786.918092115043,735.814319062566,771.746650923154,824.04811963464,868.36468663087
100,158.30257235168,198.52397963008,227.490777336053,250.737992589493,301.66051235888,366.97418146768,356.273068976693,457.56454105216,442.435423756907,470.57195472616,502.4907790956,525.184483191226,562.472573484124,616.566591280179,616.566591280179,736.833845944649,791.45300014182,848.698156891739,884.935854177217,902.266958149885,961.087604239944,974.217216319725,1019.90825033,1055.09559467646
100,141.860464352163,167.527995311175,192.850987802891,215.245475607984,257.278222336594,307.924207320026,315.417731698834,389.233419324475,390.783796427511,408.61326454042,428.25149717834,459.689939036471,490.489150923291,530.022513737675,566.337990864309,609.548887219608,689.994626550991,726.310103677624,744.2379832428,776.875996971636,802.618661614926,831.119423806564,855.942652457286,882.604682950025
100,121.135655874342,138.328075890096,157.728712318807,167.113565888278,198.18612943533,208.438483702307,212.066248899138,212.776023291074,214.905370534375,217.192432049499,223.659318881567,231.545754497507,236.176669587457,248.448601642041,260.952058252475,282.717362708348,296.841650199588,310.502870913588,322.543243081243,326.247953954556,324.395616183439,338.751445896069,347.550191633189,352.644191165919
100,123.540490318643,127.589457527044,132.9566864461,137.099821362966,140.866299813949,140.58381105653,140.112986882182,134.557451282148,131.732578075936,126.647823546324,124.482109931389,113.653484384813,108.311774087156,103.311019040009,101.719868524408,98.7648796646169,95.8098908048263,92.0593223516984,89.6726009138319,84.8991493670261,80.1257064912931,75.1249514441468,69.8968928966599,57.6223174502074
100,119.360268862939,139.898996580516,149.579118167887,165.067340964697,193.518521253836,208.080800166768,209.343439241058,219.276088643287,224.831649193769,234.932659035303,246.464655546332,251.430980247447,254.528604859873,260.529822306523,268.435111553695,277.473912338148,288.255115447103,292.249185791539,297.115422684704,298.677832544968,297.479846184319,300.821852546531,299.493815481434,302.16911692534
100,124.105187342048,139.444852014261,163.623089836933,178.013153990725,204.967142888033,256.391538092694,297.443411513175,335.573421751834,357.998559498914,395.471182287588,421.475548374599,436.742184858064,476.04898149529,504.000487990363,553.352334886854,604.451157186933,643.757953824159,680.444337337178,699.660966814305,703.154917621483,752.943500038675,784.825692861627,810.156752911709,840.728705851773
100,117.545465472514,137.181822147843,168.727276106906,193.090916934684,215.090915686237,241.727283944375,235.181817847638,245.727278673157,260.181847324846,274.636388233281,282.545463044979,289.272730690192,301.711466937773,324.563995006492,348.284372164943,369.690558649968,394.278740758635,404.403286332791,405.560359599746,411.056567966569,413.370714500478,422.048896421184,421.181113540726,426.098741134556
100,115.317070193407,120.878042825838,135.121951219512,142.536591320503,169.170740639291,172.682941715892,192.682926829268,192.09755502096,191.121960151486,191.902436047066,206.634149318788,205.951225466844,204.71552125661,213.571414523985,218.102350911955,229.22372022973,243.228394133777,243.84625409531,245.287906388445,247.759330521746,248.995034731981,256.203327623321,261.969952508694,265.883044647961
100,126.660677295677,142.459590579602,165.260315056986,187.073601461556,239.317759599031,292.998175109246,329.892280354612,357.181321106944,379.892259808668,399.281850767686,428.096907273826,462.56727598175,494.484425082707,546.29194587623,595.786665580927,662.396325089433,749.821582599283,806.717301079306,845.770325373083,873.533514639811,909.932358242916,947.626672126365,1001.30163293415,1041.83130013478
